date,ABEV3.SA,ARML3.SA,AZZA3.SA,BBSE3.SA,BEEF3.SA,BLAU3.SA,BRCR11.SA,BTCI11.SA,BTLG11.SA,CAML3.SA,CEAB3.SA,CMIG4.SA,CMIN3.SA,CSNA3.SA,CURY3.SA,FLRY3.SA,GRND3.SA,HGBS11.SA,HGLG11.SA,INTB3.SA,ISAE4.SA,JSLG3.SA,KLBN4.SA,LAVV3.SA,LWSA3.SA,MBRF3.SA,MDNE3.SA,MFII11.SA,MOVI3.SA,MXRF11.SA,MYPK3.SA,ODPV3.SA,PETR4.SA,PLPL3.SA,POMO4.SA,RBVA11.SA,RDOR3.SA,RECV3.SA,RIAA3.SA,SLCE3.SA,TGMA3.SA,TIMS3.SA,TRBL11.SA,TUPY3.SA,TVRI11.SA,UGPA3.SA,UNIP6.SA,VALE3.SA,VRTA11.SA,VULC3.SA,YDUQ3.SA,cdi_return,ibov_close
2000-01-03,,,,,,,,,,,,10695.59033203125,,3.9572911858558655,,,,,,,1.5750000476837158,,,,,,,,,,55274.189453125,,5.875,,0.1926250010728836,,,,,,,,,3075.0,,,65.88907814025879,3.5106250047683716,,,,,16930.0
2000-01-04,,,,,,,,,,,,10340.515625,,4.04791647195816,,,,,,,1.3624999523162842,,,,,,,,,,54052.015625,,5.550000190734863,,0.1926250010728836,,,,,,,,,3075.0,,,63.248273849487305,3.4435409903526306,,,,,15851.0
2000-01-05,0.5208820104598999,,,,,,,,,,,10028.8095703125,,4.221874475479126,,,,,,,1.5475000143051147,,,,,,,,,,1.17672598361969,,5.49399995803833,,0.1973230019211769,,,,,,,,,3075.0,,,61.927995681762695,3.3958330154418945,,,,,16245.0
2000-01-06,0.4944779872894287,,,,,,,,,,,10048.4609375,,4.471874713897705,,,,,,,1.524999976158142,,,,,,,,,,1.17672598361969,,5.474999904632568,,0.1956787444651127,,,,,,,,,3075.0,,,62.19198036193848,3.437499523162842,,,,,16107.0
2000-01-07,0.4944779872894287,,,,,,,,,,,10225.3203125,,4.5489583015441895,,,,,,,1.4500000476837158,,,,,,,,,,1.17672598361969,,5.5,,0.1973229944705963,,,,,,,,,3075.0,,,61.79578971862793,3.5043745040893555,,,,,16309.0
2000-01-10,0.4944779872894287,,,,,,,,,,,10198.215576171875,,4.541666507720947,,,,,,,1.5325000286102295,,,,,,,,,,1.17672598361969,,5.61299991607666,,0.1954437457025051,,,,,,,,,3075.0,,,63.248297691345215,3.7916665077209473,,,,,17022.0
2000-01-11,0.4944779872894287,,,,,,,,,,,9717.103515625,,4.438541650772095,,,,,,,1.5,,,,,,,,,,1.17672598361969,,5.474999904632568,,0.19708799943327904,,,,,,,,,3075.0,,,62.72007179260254,3.835416257381439,,,,,16573.0
2000-01-12,0.4812929928302765,,,,,,,,,,,9408.785400390625,,4.264583110809326,,,,,,,1.4524999856948853,,,,,,,,,,1.17672598361969,,5.482999801635742,,0.19920200109481812,,,,,,,,,3075.0,,,62.05985641479492,3.871874451637268,,,,,16617.0
2000-01-13,0.48458901047706604,,,,,,,,,,,9666.28173828125,,3.9802078008651733,,,,,,,1.475000023841858,,,,,,,,,,1.17672598361969,,5.324999809265137,,0.19497399777173996,,,,,,,,,3075.0,,,62.059892654418945,4.008333206176758,,,,,17298.0
2000-01-14,0.4944779872894287,,,,,,,,,,,9845.8515625,,3.7770830392837524,,,,,,,1.537500023841858,,,,,,,,,,1.17672598361969,,5.400000095367432,,0.1926250010728836,,,,,,,,,3075.0,,,61.531728744506836,4.050416469573975,,,,,17658.0
2000-01-17,0.5274739861488342,,,,,,,,,,,10041.007080078125,,3.8645830154418945,,,,,,,1.475000023841858,,,,,,,,,,1.17672598361969,,5.3379998207092285,,0.1926250010728836,,,,,,,,,5000.0,,,60.739431381225586,4.124999523162842,,,,,18053.0
2000-01-18,0.5274739861488342,,,,,,,,,,,9872.95654296875,,3.846874475479126,,,,,,,1.4550000429153442,,,,,,,,,,1.17672598361969,,5.36299991607666,,0.1926250010728836,,,,,,,,,4000.0,,,60.343305587768555,4.079166531562805,,,,,17903.0
2000-01-19,0.5274739861488342,,,,,,,,,,,9847.884521484375,,3.738541305065155,,,,,,,1.4375,,,,,,,,,,1.11531001329422,,5.324999809265137,,0.1916850060224533,,,,,,,,,4325.0,,,60.07923889160156,4.029374837875366,,,,,17470.0
2000-01-20,0.5274739861488342,,,,,,,,,,,9724.557373046875,,3.6666665077209473,,,,,,,1.4075000286102295,,,,,,,,,,1.1030269861221313,,5.313000202178955,,0.195678498595953,,,,,,,,,4325.0,,,59.41907024383545,4.0,,,,,17177.0
2000-01-21,0.5274739861488342,,,,,,,,,,,9605.2958984375,,3.4104164838790894,,,,,,,1.3799999952316284,,,,,,,,,,1.1030269861221313,,5.199999809265137,,0.19685299694538116,,,,,,,,,2150.0,,,59.41907596588135,3.9583330154418945,,,,,17034.0
2000-01-24,0.5274739861488342,,,,,,,,,,,9374.904052734375,,3.4864580035209656,,,,,,,1.377500057220459,,,,,,,,,,1.1030269861221313,,5.163000106811523,,0.19685299694538116,,,,,,,,,2150.0,,,58.890872955322266,3.968749523162842,,,,,16972.0
2000-01-25,0.5274739861488342,,,,,,,,,,,9283.4248046875,,3.4458329677581787,,,,,,,1.377500057220459,,,,,,,,,,1.1030269861221313,,5.163000106811523,,0.1973229944705963,,,,,,,,,2150.0,,,58.626800537109375,4.0,,,,,16972.0
2000-01-26,0.5241780281066895,,,,,,,,,,,9181.104248046875,,3.4270830154418945,,,,,,,1.4325000047683716,,,,,,,,,,1.1030269861221313,,5.224999904632568,,0.1907455027103424,,,,,,,,,2150.0,,,57.96663284301758,3.9666659832000732,,,,,17105.0
2000-01-27,0.5011039972305298,,,,,,,,,,,9094.36865234375,,3.3760412335395813,,,,,,,1.412500023841858,,,,,,,,,,1.1030269861221313,,5.188000202178955,,0.1888660043478012,,,,,,,,,2150.0,,,59.28701591491699,4.0208330154418945,,,,,17081.0
2000-01-28,0.5011039972305298,,,,,,,,,,,8798.92529296875,,3.3677080273628235,,,,,,,1.3200000524520874,,,,,,,,,,0.9924780130386353,,5.188000202178955,,0.1869869977235794,,,,,,,,,2150.0,,,60.07922172546387,4.0,,,,,16734.0
2000-01-31,0.5011039972305298,,,,,,,,,,,8470.2783203125,,3.2916665077209473,,,,,,,1.337499976158142,,,,,,,,,,0.9924780130386353,,5.10099983215332,,0.1860474944114685,,,,,,,,,2150.0,,,59.41905212402344,4.0,,,,,16388.0
2000-02-01,0.5011039972305298,,,,,,,,,,,8538.041015625,,3.2083330154418945,,,,,,,1.2999999523162842,,,,,,,,,,0.9924780130386353,,5.199999809265137,,0.1869869977235794,,,,,,,,,2150.0,,,59.55110549926758,3.916666030883789,,,,,16522.0
2000-02-02,0.5011039972305298,,,,,,,,,,,8517.71240234375,,3.1239578127861023,,,,,,,1.2699999809265137,,,,,,,,,,0.9924780130386353,,5.300000190734863,,0.1879269927740097,,,,,,,,,2150.0,,,59.68314170837402,3.850000023841858,,,,,16868.0
