ticker,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,nonDilutedMarketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,dividendRate,dividendYield,fiveYearAvgDividendYield,trailingPE,maxAge,priceHint,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,beta,impliedSharesOutstanding,category,bookValue,priceToBook,fundFamily,legalType,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,latestShareClass,leadInvestor,forwardPE,lastSplitDate,maxAge,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,financialCurrency,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,numberOfAnalystOpinions,price_used,liquidity_proxy,ev_ebitda_used
BEEF3.SA,1,4,4.3,4.25,3.91,4.25,4.3,4.25,3.91,4.25,2025-12-15 21:00:00,0.0,0.29,3.2807794,16067300,16067300,13832167,19141110,19141110.0,3.91,3.92,0,0,3860870400.0,4245970113,3.91,7.8,20.354202,1.494608,0.07520123,5.4344,5.7762,0.165,0.038372092,BRL,,,,,,False,0.66,0.1531,,,1,4,16625349632.0,-0.01588,452679792,987434910,0.53234,0.16657,0.29,987434911,,1.311,2.9824562,,,2024-12-30 21:00:00,2025-12-30 21:00:00,2025-09-29 21:00:00,0.372,-815049024,-1.69,1.19179,,0.324,3.669,-0.29042906,0.16984439,0.164552,1765843200,,,3.2807794,,86400,3.91,buy,14893214720,15.117,4531187200.0,26719475712,1.148,1.35,51340525568,1440.673,57.953,0.05646,-0.50405,9210893312,2577800192,6292843008,-0.311,0.825,0.17941,0.08826,0.07391,-0.01588,BRL,10.0,5.8,7.80769,8.0,2.38462,13,3.91,74841740.10000001,3.669
BBSE3.SA,1,2,34.52,34.33,34.12,34.51,34.52,34.33,34.12,34.51,2026-02-12 21:00:00,0.91660005,0.173,7.5577736,607800,607800,7045484,5432200,5432200.0,34.3,34.32,0,0,66622492672.0,67010738658,31.53,42.77,42.77,15.98,6.446009,35.5408,34.34865,4.53,0.13122828,BRL,,,,,,False,5.21,0.15100001,8.22,7.380645,1,2,56965881856.0,0.87246,616219261,1941214909,0.6625,0.12158,0.173,1941214909,,5.349,6.4161525,,,2025-12-30 21:00:00,2026-12-30 21:00:00,2025-12-30 21:00:00,0.008,9017328640,4.65,4.54102,,5.512,5.769,-0.1478647,0.16984439,2.606807,1770940800,,,7.5577736,,86400,34.32,hold,10044855296,5.175,9873904640.0,0,1.278,1.278,10335463424,,5.324,0.27602,0.89815,10152952832,6859609088,3710769920,0.088,0.002,0.98234004,0.95533997,0.93563,0.87246,BRL,46.0,34.0,37.75,37.0,3.08333,12,34.32,186433104.0,5.769
TUPY3.SA,1,2,11.92,11.89,11.54,11.89,11.92,11.89,11.54,11.89,2025-01-01 21:00:00,3.9573998,0.166,6.7783093,282700,282700,1263965,1233380,1233380.0,11.57,11.58,0,0,1515259008.0,1562446851,11.2,24.71,6500.0,1.19,0.15147984,12.346,13.82475,1.392,0.11677852,BRL,,,,,,False,1.8,0.1466,4.1,,1,2,3862283264.0,-0.01273,54338245,131077756,0.0,0.75949997,0.166,131077756,,23.515,0.49117586,,,2024-12-30 21:00:00,2025-12-30 21:00:00,2025-09-29 21:00:00,,-127359000,-0.9,1.70544,2:1,0.386,4.732,-0.38270324,0.16984439,1.39228,1735776000,,,6.7724457,2013-02-12 21:00:00,86400,11.55,hold,1648624000,12.58,816212992.0,3939546880,1.47,2.445,10003040256,127.458,76.329,0.03086,-0.03692,1471101056,434759008,1149038976,,-0.133,0.14706999,0.081599995,0.017,-0.01273,BRL,35.0,13.0,16.83333,14.0,3.0,9,11.55,14245539.0,4.732
CURY3.SA,1,2,35.24,34.4,33.59,34.43,35.24,34.4,33.59,34.43,2026-02-04 21:00:00,0.6094,,6.9759393,928500,928500,3064782,3594400,3594400.0,33.87,33.89,,,10433571840.0,10855597212,23.57,41.76,41.76,5.72,1.9323491,36.4146,33.65135,0.0,0.0,BRL,,,,,,False,4.98,0.14140001,,11.365771,1,2,11910605824.0,0.18067,177164015,308047594,0.50241,0.65564,,308047594,,4.076,8.309617,,,2025-12-30 21:00:00,2026-12-30 21:00:00,2025-12-30 21:00:00,0.629,975536000,2.98,4.85526,,2.206,9.193,0.45499587,0.16984439,0.454475,1770249600,,,6.9759393,,86400,33.95,strong_buy,1790936960,5.283,1295548032.0,1474887040,1.308,1.842,5399424000,88.739,18.435,0.15767999,0.7277,2146587008,1273704192,747046016,0.587,0.372,0.39756,0.23993999,0.21977,0.18067,BRL,51.0,43.0,45.95833,45.0,1.33333,12,33.95,122029880.00000001,9.193
RECV3.SA,1,2,13.74,13.64,13.17,13.8,13.74,13.64,13.17,13.8,2026-01-08 21:00:00,1.0342,0.078,6.6789603,2407300,2407300,4370037,4971490,4971490.0,13.22,13.24,,,3873166080.0,4025514449,10.07,16.96,36.66,10.07,1.1748205,11.5382,12.3514,2.193,0.159607,BRL,,,,,,False,1.92,0.14,,6.2358494,1,2,5524447232.0,0.18808001,205708476,292977762,0.29737,0.63728,0.078,292977762,,15.576,0.84874165,,,2024-12-30 21:00:00,2025-12-30 21:00:00,2025-09-29 21:00:00,-0.232,620049024,2.12,1.97935,,1.676,3.533,-0.14285713,0.16984439,1.023968,1767916800,,,6.6789603,,86400,13.23,hold,933715008,3.187,1563502976.0,2432647936,2.074,2.158,3296815104,53.307,11.254,0.0672,0.13571,1120477056,-995250624,1822930944,-0.229,-0.075,0.33987,0.47425,0.20041999,0.18808001,BRL,17.0,9.5,13.17692,12.5,2.92308,13,13.23,65772812.7,3.533
CMIG4.SA,1,2,11.81,11.68,11.62,11.85,11.81,11.68,11.62,11.85,2025-12-28 21:00:00,0.6217,0.312,8.9708605,2198100,2198100,12405950,11066410,11066410.0,11.79,11.8,0,0,37223706624.0,37410173780,9.81,12.44,30902.287,2.025908,0.877356,11.5676,11.1195,1.31,0.11092294,BRL,,,,,,False,1.65,0.1398,9.05,5.175439,1,2,47309447168.0,0.09473,2373107263,1904080104,1.0000001e-05,0.88378,0.312,3154551345,,10.043,1.1729562,,,2024-12-30 21:00:00,2025-12-30 21:00:00,2025-09-29 21:00:00,-0.757,4019279104,2.28,1.31537,130:100,1.115,6.659,0.040528655,0.16984439,0.118401,1766966400,,,8.955655,2024-04-29 21:00:00,86400,11.81,hold,2317042944,0.81,7104523776.0,15835669504,0.712,0.896,42427142144,55.11,14.831,0.05613,0.1416,5766945792,-2693186048,4283584000,-0.757,0.046,0.13593,0.16745001,0.10187,0.09473,BRL,13.8,9.2,12.07667,12.0,3.23077,12,11.81,130694302.10000001,6.659
FLRY3.SA,1,2,15.34,15.11,15.02,15.24,15.34,15.11,15.02,15.24,2025-12-02 21:00:00,1.4958,0.348,10.344567,625500,625500,3124584,3474480,3474480.0,15.1,15.12,0,0,8248926208.0,8374489193,11.28,18.1,32.146446,6.129419,0.9949035,16.5188,15.1157,1.209,0.07881356,BRL,,,,,,False,1.89,0.1232,4.87,13.491071,1,2,11564517376.0,0.07391,210948238,545924980,0.55294,0.65299004,0.348,545924980,,9.177,1.651956,,,2025-12-30 21:00:00,2026-12-30 21:00:00,2025-12-30 21:00:00,0.148,612830976,1.12,1.46067,21:20,1.395,6.299,0.2934233,0.16984439,0.899059,1764720000,,,10.3787985,2023-06-12 21:00:00,86400,15.17,buy,2162391040,3.968,1835933952.0,5271442944,1.851,1.969,8291182080,103.437,15.215,0.0596,0.113970004,2206036992,954625728,2133774976,0.146,0.12,0.26607,0.22143,0.1094,0.07391,BRL,19.0,14.0,17.48182,18.0,2.27273,11,15.17,52707861.6,6.299
YDUQ3.SA,1,2,9.9,9.64,9.47,9.96,9.9,9.64,9.47,9.96,2025-12-28 21:00:00,1.7488999,,3.8214521,1925200,1925200,3828339,6044560,6044560.0,9.79,9.79,,,2574923776.0,2609185649,9.47,17.8,57.63,3.383333,0.46630275,12.8256,13.3267,0.0,0.0,BRL,,,,,,False,1.14,0.115100004,2.41,15.03077,1,2,6858629632.0,0.0326,172563412,263554106,0.12165,0.78793,,263554106,,11.178,0.87761676,,,2025-12-30 21:00:00,2026-12-30 21:00:00,2025-12-30 21:00:00,,180000000,0.65,2.55662,3:1,1.242,5.953,-0.1797846,0.16984439,0.569143,1766966400,,,3.8370976,2013-05-21 21:00:00,86400,9.83,buy,1478099968,5.61,1152211968.0,5705399808,1.362,1.406,5521999872,192.23,20.959,0.056020003,0.05895,3675000064,-157932992,1511200000,,0.031,0.66552,0.20865999,0.12567,0.0326,BRL,23.0,13.0,18.34615,17.0,1.92308,13,9.83,59418024.8,5.953
PLPL3.SA,1,2,14.2,13.96,13.54,13.96,14.2,13.96,13.54,13.96,2025-12-29 21:00:00,0.8332,0.41,4.1071496,924800,924800,2020634,2872100,2872100.0,13.56,13.59,,,2751456768.0,2881318876,11.13,18.02,18.02,1.86,0.8384242,14.858,14.8333,0.493,0.03471831,BRL,,,,,,False,1.5,0.10560001,,7.533334,1,2,3071918848.0,0.11031,56569218,202909780,0.71769994,0.15621,0.41,202909780,,5.043,2.6908584,,,2025-12-30 21:00:00,2026-12-30 21:00:00,2025-12-30 21:00:00,0.523,362000000,1.8,3.30156,,0.936,5.738,0.19730186,0.16984439,0.49283,1767052800,,,4.110178,,86400,13.6,strong_buy,1093500032,5.389,535398656.0,1164700032,1.571,2.382,3281700096,101.934,16.173,0.094610006,0.41074002,1020099968,18878376,-76132000,0.541,0.599,0.31084,0.16315001,0.1583,0.11031,BRL,26.0,19.0,22.11111,22.0,1.33333,9,13.6,39060560.0,5.738
TIMS3.SA,1,2,26.34,25.75,25.4,26.47,26.34,25.75,25.4,26.47,2025-12-22 21:00:00,1.4039,0.309,11.851678,853300,853300,6788046,5771420,5771420.0,26.35,26.36,,,62917525504.0,62917523601,16.28,28.74,28.74,3.47,2.3631244,25.7288,23.42025,1.582,0.060060743,BRL,,,,,,False,2.78,0.10560001,5.66,14.715084,1,2,73576464384.0,0.16194999,2388667889,2388668322,0.67386,0.15252,0.309,2388668322,,10.038,2.6270175,,,2025-12-30 21:00:00,2026-12-30 21:00:00,2025-12-30 21:00:00,0.27,4311984128,1.79,2.22247,1:100,2.763,6.648,0.54305804,0.16984439,0.175576,1766448000,,,11.865177,2025-07-02 21:00:00,86400,26.38,buy,5884640256,2.464,11067514880.0,16543591424,0.791,0.886,26624720896,68.997,11.031,0.0735,0.17117001,14358136832,6110108672,13440068608,0.291,0.044,0.53928,0.41569,0.27545,0.16194999,BRL,31.0,21.0,26.22143,26.4,2.42857,14,26.38,152250059.6,6.648
