ticker,selection_score,modified_sharpe,omega,alpha_jensen,max_drawdown,liquidity
VULC3.SA,1422339.9555652537,1082662.2786948935,1.1809735061148172,0.23010211816193582,0.6598057850219905,32705668.8
PETR4.SA,7.186560643126049,0.14893062128285947,1.1422833497920402,0.10257018579085075,0.6246548545392613,3251319346.4
VALE3.SA,4.699465377407156,0.16566611397645342,1.1308914402646768,0.08711213918684435,0.572109961728099,1945514060.0
UNIP6.SA,2.212956496462021,0.538126132515882,1.2347001869255694,0.27429104633085233,0.6191455602897532,29169750.0
CPLE3.SA,2.1512792381961967,0.3619407700888271,1.1898933268426117,0.12736407509444914,0.435717646540544,281297610.0
CURY3.SA,1.92629767610676,0.353438757944828,1.183965787836574,0.19284094295220822,0.49015791819190746,132035423.2
DIRR3.SA,1.391542966420711,0.20093794316012845,1.1427869676137978,0.12855572690520867,0.6011888428608998,123899287.8
TGMA3.SA,1.2167006052931297,0.22287666421472072,1.152604264599905,0.12648564126878248,0.6881438522461835,28859608.5
TIMS3.SA,1.1789046996620014,0.08512561271404141,1.1193784619868954,0.029575378264341534,0.3709352479564204,156310780.5
CMIG4.SA,1.0357393175587177,0.07147921419823296,1.1086152144436303,0.03391047425277827,0.4943432485272611,143287412.4
