date,portfolio_return
2023-03-03,-0.0036483482221458994
2023-03-06,0.009283590486492063
2023-03-07,-0.0005611820130818618
2023-03-08,0.007690627042731637
2023-03-09,0.010994086891761514
2023-03-10,-0.0048039526530581425
2023-03-13,0.0052056346215690824
2023-03-14,0.0041965376810490914
2023-03-15,-0.007892255675227737
2023-03-16,0.02059353334610994
2023-03-17,-0.012917867885598667
2023-03-20,-0.009683886730096302
2023-03-21,-0.010758626380941834
2023-03-22,0.005645487833668601
2023-03-23,-0.010529614822099813
2023-03-24,-0.005803686356740508
2023-03-27,0.01866769154380167
2023-03-28,0.009784782794937955
2023-03-29,0.0047522416198300475
2023-03-30,0.00785745037333718
2023-03-31,-0.006530142750549958
2023-04-03,-0.008816862712884658
2023-04-04,0.006446241463066284
2023-04-05,0.008644199562435806
2023-04-06,0.005294634419722812
2023-04-10,-0.0018459654373132813
2023-04-11,0.01629523633855356
2023-04-12,0.017384843659343806
2023-04-13,0.002574835283212676
2023-04-14,0.005545981395520266
2023-04-17,0.0038820782486078255
2023-04-18,-0.006459150487616341
2023-04-19,-0.019681288297939498
2023-04-20,-0.016509382467281373
2023-04-24,-0.008059649205532999
2023-04-25,0.0004788034584508994
2023-04-26,-0.0036061838810817143
2023-04-27,0.016214362180873697
2023-04-28,-0.008658521935162838
2023-05-02,-0.0132695654363751
2023-05-03,-0.016943789020866743
2023-05-04,-0.0028345667644433213
2023-05-05,0.014416507342481132
2023-05-08,0.01683123470976912
2023-05-09,-0.0027542433197176603
2023-05-10,0.0035677971015431317
2023-05-11,0.015067562405797357
2023-05-12,0.022826164016297775
2023-05-15,-0.004344000834765738
2023-05-16,0.008616951196432555
2023-05-17,0.005314399103144001
2023-05-18,-0.0006606523152070509
2023-05-19,0.017990125499637622
2023-05-22,0.006329564747765327
2023-05-23,3.0868691389636884e-05
2023-05-24,-0.0033631152333870413
2023-05-25,0.011856716811240217
2023-05-26,0.014070592181311363
2023-05-29,-0.0014901140571789717
2023-05-30,-0.00298411641826384
2023-05-31,-0.009809101770355497
2023-06-01,0.00588269573729481
