ticker,allocation,selection_score,modified_sharpe,omega,alpha_jensen,max_drawdown,liquidity,allocation_pct
CPLE3.SA,0.29999999999999993,2.1512792381961967,0.3619407700888271,1.1898933268426115,0.1273640750944491,0.435717646540544,281297610.0,29.999999999999993
CURY3.SA,0.27137586573133166,1.92629767610676,0.353438757944828,1.183965787836574,0.1928409429522082,0.4901579181919074,132035423.2,27.137586573133166
TIMS3.SA,0.2587064617440691,1.1789046996620014,0.0851256127140414,1.1193784619868954,0.0295753782643415,0.3709352479564204,156310780.5,25.870646174406907
PETR4.SA,0.16991767252459924,7.186560643126049,0.1489306212828594,1.1422833497920402,0.1025701857908507,0.6246548545392613,3251319346.4,16.991767252459926
TGMA3.SA,6.061601396794282e-17,1.2167006052931295,0.2228766642147207,1.152604264599905,0.1264856412687824,0.6881438522461835,28859608.5,6.061601396794282e-15
CMIG4.SA,2.5218681558572295e-17,1.0357393175587175,0.0714792141982329,1.1086152144436303,0.0339104742527782,0.4943432485272611,143287412.4,2.5218681558572295e-15
UNIP6.SA,1.7850228855910073e-17,2.212956496462021,0.538126132515882,1.2347001869255694,0.2742910463308523,0.6191455602897532,29169750.0,1.7850228855910073e-15
VULC3.SA,1.676390080157589e-17,1422339.9555652535,1082662.2786948937,1.1809735061148172,0.2301021181619358,0.6598057850219905,32705668.8,1.676390080157589e-15
VALE3.SA,0.0,4.699465377407156,0.1656661139764534,1.1308914402646768,0.0871121391868443,0.572109961728099,1945514060.0,0.0
DIRR3.SA,0.0,1.391542966420711,0.2009379431601284,1.1427869676137978,0.1285557269052086,0.6011888428608998,123899287.8,0.0
